Ranga,Słowo,Liczba_sasiadow,Centralnosc_norm,Tłumaczenie_PL
1,sekä,28,0.9655,mieszany
2,vuonna,28,0.9655,w roku
3,yksi,28,0.9655,jeden
4,osa,27,0.931,część
5,nimi,27,0.931,nazwa
6,toinen,27,0.931,drugi
7,ensimmäinen,27,0.931,Pierwszy
8,uusi,27,0.931,nowy
9,the,27,0.931,the
10,kanssa,27,0.931,z
11,kaksi,27,0.931,dwa
12,muualla,27,0.931,gdzie indziej
13,jälkeen,27,0.931,Po
14,suomalainen,26,0.8966,fiński
15,luokka,25,0.8621,klasa
16,suomi,25,0.8621,fiński
17,tehdä,25,0.8621,robić
18,alue,24,0.8276,obszar
19,aika,24,0.8276,czas
20,elokuva,23,0.7931,film
21,luku,23,0.7931,numer
22,lähde,23,0.7931,źródło
23,kausi,22,0.7586,sezon
24,muu,22,0.7586,Inny
25,lokakuu,18,0.6207,Październik
26,syntyä,18,0.6207,urodzić się
27,aihe,18,0.6207,temat
28,syyskuu,17,0.5862,Wrzesień
29,peak,3,0.1034,Szczyt
30,lempo,0,0.0,Ładny
