lemma,count,polish_translation
vuosi,10638,rok
suomi,3481,fiński
luku,3287,numer
tammikuu,3151,Styczeń
alue,2990,obszar
nimi,2509,nazwa
kunta,2419,miasto
maa,2408,kraj
kalenteri,2366,kalendarz
Suomi,2361,fiński
osa,2342,część
aika,2278,czas
kaupunki,2125,miasto
päivä,1845,dzień
yhdysvallat,1809,Stany Zjednoczone
kieli,1743,język
kuningas,1669,król
eurooppa,1604,Europa
helmikuu,1568,Luty
luokka,1543,klasa
ihminen,1543,Człowiek
maaliskuu,1411,marzec
sota,1358,wojna
ruotsi,1338,szwedzki
historia,1296,historia
kiina,1285,Chiny
käyttö,1205,używać
etelä,1199,południe
ranska,1190,Francja
tapahtuma,1186,wydarzenie
joukko,1087,ustawić
venäjä,1067,Rosja
huhtikuu,1039,Kwiecień
sana,1030,słowo
maailma,1029,świat
helsinki,1028,Helsinki
pinta,1027,powierzchnia
saksa,1006,Niemcy
tiedosto,982,plik
toukokuu,979,Móc
keisari,972,cesarz
valtio,966,państwo
pohjois,951,północ
saari,935,wyspa
asukas,923,rezydent
maa#kunta,923,województwo
presidentti,895,prezydent
alku,858,wstępny
itä,833,wschód
de,833,de
