lemma,count
vuosi,10638
suomi,3481
luku,3287
tammikuu,3151
alue,2990
nimi,2509
kunta,2419
maa,2408
kalenteri,2366
Suomi,2361
osa,2342
aika,2278
kaupunki,2125
päivä,1845
yhdysvallat,1809
kieli,1743
kuningas,1669
eurooppa,1604
helmikuu,1568
luokka,1543
ihminen,1543
maaliskuu,1411
sota,1358
ruotsi,1338
historia,1296
kiina,1285
käyttö,1205
etelä,1199
ranska,1190
tapahtuma,1186
joukko,1087
venäjä,1067
huhtikuu,1039
sana,1030
maailma,1029
helsinki,1028
pinta,1027
saksa,1006
tiedosto,982
toukokuu,979
keisari,972
valtio,966
pohjois,951
saari,935
asukas,923
maa#kunta,923
presidentti,895
alku,858
itä,833
de,833
